DATE,RGDP,NGDP,RDPI,NDPI,UR,UC,X3MT,X5MT,X10YT,BBB,X30YC,PR,DJI,ORE,CREPI,VIX,X103S
2014Q1,17953.974,17197.738,13149.1333,12714.4,6.6667,235.621,0.0493,1.6034,2.7654,3.7408,4.3646,3.25,1834.307,162.5083,209207,14.8289,2.7161
2014Q2,18185.911,17518.508,13314.5,12931.8667,6.2,236.8723,0.033,1.6576,2.621,3.5175,4.2277,3.25,1936.653,163.6983,219199,12.7383,2.5879
2014Q3,18406.941,17804.228,13439.6667,13089.1333,6.0667,237.4783,0.0264,1.7016,2.4995,3.4791,4.1354,3.25,1964.01,165.2297,223835,13.0727,2.4731
2014Q4,18500.031,17912.079,13631.4,13258.2,5.7,236.8883,0.0226,1.601,2.276,3.6352,3.9636,3.25,2042.34,167.336,231556,16.0723,2.2534
2015Q1,18666.621,18063.529,13819,13380.5333,5.5333,235.355,0.0246,1.4572,1.9689,3.6184,3.7167,3.25,2081.7175,169.1767,240986,16.5648,1.9443
2015Q2,18782.243,18279.784,13860.5667,13487.8667,5.4333,236.96,0.0183,1.5252,2.1644,3.6338,3.8192,3.25,2101.829,170.8767,245998,13.7402,2.1461
2015Q3,18857.418,18401.626,13937.9,13598.2667,5.1,237.855,0.0427,1.5558,2.2231,3.9882,3.9546,3.25,2027.2,172.9627,245814,19.3073,2.1805
2015Q4,18892.206,18435.137,14016.8333,13664.8,5.0333,237.837,0.1255,1.5842,2.1905,4.1703,3.8979,3.2903,2052.3119,175.6773,243908,17.0333,2.065
2016Q1,19001.69,18525.933,14130.6,13782.3333,4.9,237.6893,0.2905,1.3698,1.9143,4.3395,3.7385,3.5,1951.2249,177.6807,238515,20.4862,1.6238
2016Q2,19062.709,18711.702,14102.2,13841.8,4.9333,239.5903,0.2594,1.2405,1.7502,3.6624,3.5892,3.5,2075.1316,179.416,248008,15.6759,1.4908
2016Q3,19197.938,18892.639,14181.9667,13968.1,4.9,240.6073,0.2983,1.1286,1.5644,3.3009,3.4462,3.5,2162.0569,181.825,256441,13.2339,1.2661
2016Q4,19304.352,19089.379,14274.2333,14123.3,4.7667,242.1347,0.4333,1.6148,2.1387,3.6308,3.8423,3.5451,2184.8786,184.729,257629,14.0979,1.7054
