Date,AI/Chip Manufacturing,Automotive,Finance/Banking,Healthcare,Technology
3/31/14,0.5802,0.6303,0.5133,0.4681,0.514
6/30/14,0.6224,0.6718,0.4371,0.4545,0.534
9/30/14,0.5362,0.553,0.5505,0.5636,0.484
12/31/14,0.4941,0.5804,0.573,0.5102,0.4629
3/31/15,0.3889,0.5657,0.535,0.34,0.4103
6/30/15,0.3043,0.599,0.5702,0.3729,0.3259
9/30/15,0.5818,0.6308,0.553,0.4607,0.4205
12/31/15,0.6545,0.5652,0.625,0.5165,0.4267
3/31/16,0.4912,0.6971,0.6362,0.6056,0.434
6/30/16,0.5294,0.6504,0.5916,0.6296,0.456
9/30/16,0.4386,0.7185,0.5311,0.75,0.4681
12/31/16,0.6667,0.3834,0.5928,0.4444,0.4
3/31/17,0.4022,0.6972,0.4632,0.4054,0.4243
6/30/17,0.4189,0.6207,0.514,0.5686,0.5916
9/30/17,0.6778,0.6603,0.5415,0.678,0.446
12/31/17,0.5,0.5651,0.6766,0.525,0.468
3/31/18,0.64,0.6228,0.5879,0.5556,0.406
6/30/18,0.6092,0.7257,0.5492,0.3333,0.536
9/30/18,0.5616,0.7346,0.532,0.5797,0.5079
12/31/18,0.5704,0.6572,0.6702,0.5932,0.606
3/31/19,0.8125,0.7192,0.588,0.5,0.666
6/30/19,0.6071,0.7529,0.6506,0.44,0.544
9/30/19,0.7324,0.728,0.8179,0.5652,0.478
12/31/19,0.8571,0.5358,0.5575,0.6154,0.546
3/31/20,0.9778,0.9,0.8237,0.8889,0.562
6/30/20,0.2632,0.5765,0.6545,0.5563,0.5525
9/30/20,0.8837,0.6476,0.6945,0.5586,0.588
12/31/20,0.6957,0.5758,0.4982,0.4968,0.554
3/31/21,0.7143,0.6773,0.687,0.6954,0.556
6/30/21,0.8125,0.8026,0.6107,0.7402,0.546
9/30/21,0.5676,0.6485,0.6779,0.5162,0.548
12/31/21,0.5538,0.6323,0.6941,0.43,0.512
3/31/22,0.68,0.6314,0.7082,0.5204,0.628
6/30/22,0.5,0.7368,0.7953,0.5872,0.6723
9/30/22,0.6591,0.6127,0.7809,0.4615,0.5635
12/31/22,0.8953,0.7249,0.878,0.75,0.614
3/31/23,0.8471,0.8699,1.0824,0.68,0.6945
6/30/23,0.7757,0.8155,0.9209,0.3115,0.5996
9/30/23,0.7153,0.8094,0.9095,0.5147,0.54
12/31/23,0.6893,0.7156,0.8586,0.6154,0.552
3/31/24,0.7698,0.7985,0.7817,0.7455,0.576
6/30/24,0.619,0.7658,0.8044,0.6111,0.5769
9/30/24,0.95,0.7471,0.7717,0.7931,0.6507
12/31/24,0.6264,0.7217,0.7808,0.6207,0.5426
