Ticker,DlyCalDt,DlyRet,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen
MSFT,2014-01-02,-0.006683,30423757,37.16,37.1,37.4,37.35
MSFT,2014-01-03,-0.006728,30944370,36.91,36.6,37.22,37.2
MSFT,2014-01-06,-0.021132,43111355,36.13,36.11,36.89,36.85
MSFT,2014-01-07,0.00775,35478667,36.41,36.21,36.49,36.325
MSFT,2014-01-08,-0.017852,59452427,35.76,35.58,36.14,36.0
MSFT,2014-01-09,-0.006432,36215226,35.53,35.4,35.91,35.88
MSFT,2014-01-10,0.014354,40212068,36.04,35.75,36.15,35.9
MSFT,2014-01-13,-0.029412,45381804,34.98,34.83,36.02,35.99
MSFT,2014-01-14,0.02287,41104196,35.78,34.63,35.88,34.73
MSFT,2014-01-15,0.02739,44348336,36.76,35.85,36.79,35.9
MSFT,2014-01-16,0.003536,37867819,36.89,36.31,37.0,36.69
MSFT,2014-01-17,-0.013825,46009680,36.38,36.15,36.83,36.83
MSFT,2014-01-21,-0.005772,31268119,36.17,36.06,36.82,36.82
MSFT,2014-01-22,-0.006635,21798051,35.93,35.75,36.32,36.26
MSFT,2014-01-23,0.003479,44104654,36.055,35.52,36.13,36.09
MSFT,2014-01-24,0.020802,76424302,36.805,36.53,37.55,37.45
MSFT,2014-01-27,-0.021057,44111631,36.03,35.98,36.89,36.87
MSFT,2014-01-28,0.006661,36226055,36.27,35.75,36.39,36.12
MSFT,2014-01-29,0.010753,52790351,36.66,35.9,36.88,35.98
MSFT,2014-01-30,0.005456,35111959,36.86,36.23,36.88,36.79
MSFT,2014-01-31,0.026587,93194815,37.84,36.56,37.89,36.95
MSFT,2014-02-03,-0.035941,64104518,36.48,36.43,37.985,37.74
MSFT,2014-02-04,-0.003564,55531979,36.35,36.25,37.189,36.97
MSFT,2014-02-05,-0.01458,55841097,35.82,35.8,36.47,36.29
MSFT,2014-02-06,0.01005,35385724,36.18,35.69,36.25,35.8
MSFT,2014-02-07,0.010503,33348208,36.56,36.01,36.59,36.32
MSFT,2014-02-10,0.006565,26801014,36.8,36.29,36.8,36.63
MSFT,2014-02-11,0.01019,32165979,37.175,36.86,37.26,36.88
MSFT,2014-02-12,0.007935,27055869,37.47,37.3,37.6,37.35
MSFT,2014-02-13,0.003736,37647772,37.61,37.33,37.86,37.33
MSFT,2014-02-14,0.000266,42986838,37.62,37.33,37.78,37.39
MSFT,2014-02-18,0.002127,32840207,37.42,37.41,37.78,37.63
MSFT,2014-02-19,0.002405,29794084,37.51,37.21,37.75,37.22
MSFT,2014-02-20,0.006398,27541038,37.75,37.395,37.87,37.57
MSFT,2014-02-21,0.006093,38030906,37.98,37.86,38.35,37.94
MSFT,2014-02-24,-0.007636,32143495,37.69,37.54,37.975,37.69
MSFT,2014-02-25,-0.00398,30868557,37.54,37.35,37.85,37.61
MSFT,2014-02-26,-0.001865,41042629,37.47,37.19,37.74,37.58
MSFT,2014-02-27,0.010408,33919024,37.86,37.23,37.89,37.45
MSFT,2014-02-28,0.011886,41217028,38.31,37.82,38.46,37.98
MSFT,2014-03-03,-0.013835,29855203,37.78,37.495,38.13,37.92
MSFT,2014-03-04,0.016675,26886337,38.41,38.07,38.48,38.2
MSFT,2014-03-05,-0.00781,20495432,38.11,37.93,38.2699,38.25
MSFT,2014-03-06,0.00105,23605310,38.15,37.89,38.24,38.14
MSFT,2014-03-07,-0.006553,26596635,37.9,37.69,38.36,38.28
MSFT,2014-03-10,-0.002111,19008505,37.82,37.72,38.01,37.99
MSFT,2014-03-11,0.005288,25218133,38.02,37.72,38.23,37.87
MSFT,2014-03-12,0.006575,30496295,38.27,37.79,38.43,37.8
MSFT,2014-03-13,-0.009929,32169650,37.89,37.6414,38.45,38.42
MSFT,2014-03-14,-0.005015,27195638,37.7,37.5058,38.135,37.651
MSFT,2014-03-17,0.009284,20479888,38.05,37.79,38.41,37.9
MSFT,2014-03-18,0.039422,64063866,39.55,38.22,39.9,38.26
MSFT,2014-03-19,-0.00708,35597241,39.27,38.91,39.55,39.47
MSFT,2014-03-20,0.026993,59270661,40.33,39.24,40.649,39.25
MSFT,2014-03-21,-0.004215,80732142,40.16,40.01,40.94,40.72
MSFT,2014-03-24,0.008466,46128974,40.5,39.86,40.64,40.34
MSFT,2014-03-25,-0.003951,43193147,40.34,39.9599,40.99,40.66
MSFT,2014-03-26,-0.013634,41982966,39.79,39.6,40.705,40.48
MSFT,2014-03-27,-0.010807,35680256,39.36,39.34,39.97,39.74
MSFT,2014-03-28,0.023882,43472747,40.3,39.68,40.635,39.79
MSFT,2014-03-31,0.017122,46886284,40.99,40.4,41.5,40.43
MSFT,2014-04-01,0.01049,32623882,41.42,41.07,41.59,41.15
MSFT,2014-04-02,-0.00169,28667570,41.35,41.17,41.66,41.44
MSFT,2014-04-03,-0.008222,30140545,41.01,40.71,41.29,41.29
MSFT,2014-04-04,-0.027798,51409573,39.87,39.64,41.39,41.25
MSFT,2014-04-07,-0.001756,37559615,39.8,39.74,40.27,39.96
MSFT,2014-04-08,0.000503,35919609,39.82,39.2,39.93,39.75
MSFT,2014-04-09,0.016323,27398787,40.47,39.88,40.55,39.93
MSFT,2014-04-10,-0.027428,45960848,39.36,39.09,40.69,40.44
MSFT,2014-04-11,-0.003836,34333298,39.209,39.0,39.79,39.0
MSFT,2014-04-14,-0.00074,32007201,39.18,38.9,39.41,39.11
MSFT,2014-04-15,0.014548,33978673,39.75,39.05,39.96,39.34
MSFT,2014-04-16,0.016352,30616304,40.4,39.905,40.415,40.06
MSFT,2014-04-17,-0.009653,36689399,40.01,39.51,40.195,40.01
MSFT,2014-04-21,-0.00175,22222222,39.94,39.79,40.15,40.13
MSFT,2014-04-22,0.001252,27057271,39.99,39.83,40.14,39.96
MSFT,2014-04-23,-0.007502,24602781,39.69,39.47,39.99,39.99
MSFT,2014-04-24,0.004283,42382794,39.86,39.3,39.97,39.74
MSFT,2014-04-25,0.001254,56883812,39.91,39.75,40.68,40.29
MSFT,2014-04-28,0.024054,50612308,40.87,40.09,41.29,40.14
MSFT,2014-04-29,-0.008808,29637370,40.51,40.39,41.19,41.1
MSFT,2014-04-30,-0.002715,35464148,40.4,40.1699,40.5,40.4
MSFT,2014-05-01,-0.009901,28791455,40.0,39.95,40.36,40.24
MSFT,2014-05-02,-0.00775,43417914,39.69,39.66,40.34,40.31
MSFT,2014-05-05,-0.006551,22460928,39.43,39.3,39.6399,39.52
MSFT,2014-05-06,-0.009384,27112373,39.06,38.95,39.35,39.29
MSFT,2014-05-07,0.009345,41749497,39.425,38.51,39.51,39.22
MSFT,2014-05-08,0.005453,32123032,39.64,38.97,39.9,39.34
MSFT,2014-05-09,-0.002523,29647646,39.54,39.37,39.85,39.54
MSFT,2014-05-12,0.010875,23037185,39.97,39.65,40.02,39.74
MSFT,2014-05-13,0.018264,27004768,40.42,39.85,40.5,39.92
MSFT,2014-05-14,-0.004453,18818711,40.24,40.05,40.45,40.3
MSFT,2014-05-15,-0.015905,37793243,39.6,39.51,40.4,40.09
MSFT,2014-05-16,0.005808,29918272,39.83,39.27,39.84,39.67
MSFT,2014-05-19,-0.002009,24537438,39.75,39.46,39.82,39.61
MSFT,2014-05-20,-0.001761,21322341,39.68,39.46,39.94,39.68
MSFT,2014-05-21,0.016885,22403892,40.35,39.7399,40.35,39.8
MSFT,2014-05-22,-0.006196,20202485,40.1,39.85,40.35,40.29
MSFT,2014-05-23,0.000499,18020866,40.12,40.0,40.37,40.37
MSFT,2014-05-27,0.001745,26161164,40.19,39.81,40.26,40.26
MSFT,2014-05-28,-0.004479,25711465,40.01,39.82,40.19,40.14
