Ticker,DlyCalDt,DlyCap,DlyRet
MSFT,1/2/14,308428000,-0.006683
MSFT,1/3/14,306353000,-0.006728
MSFT,1/6/14,299879000,-0.021132
MSFT,1/7/14,302203000,0.00775
MSFT,1/8/14,296808000,-0.017852
MSFT,1/9/14,294899000,-0.006432
MSFT,1/10/14,299132000,0.014354
MSFT,1/13/14,290334000,-0.029412
MSFT,1/14/14,296974000,0.02287
MSFT,1/15/14,305108000,0.02739
MSFT,1/16/14,306187000,0.003536
MSFT,1/17/14,301980339.1,-0.013825
MSFT,1/21/14,300237187.1,-0.005772
MSFT,1/22/14,298245013.3,-0.006635
MSFT,1/23/14,299282603.8,0.003479
MSFT,1/24/14,305508146.8,0.020802
MSFT,1/27/14,299075085.7,-0.021057
MSFT,1/28/14,301067259.5,0.006661
MSFT,1/29/14,304304541.8,0.010753
MSFT,1/30/14,305964686.6,0.005456
MSFT,1/31/14,314099396.2,0.026587
MSFT,2/3/14,302810411.5,-0.035941
MSFT,2/4/14,301731317.4,-0.003564
MSFT,2/5/14,297331933.7,-0.01458
MSFT,2/6/14,300320194.3,0.01005
MSFT,2/7/14,303474469.4,0.010503
MSFT,2/10/14,305466643.2,0.006565
MSFT,2/11/14,308579414.7,0.01019
MSFT,2/12/14,311028128.3,0.007935
MSFT,2/13/14,312190229.6,0.003736
MSFT,2/14/14,312273236.9,0.000266
MSFT,2/18/14,310613092.1,0.002127
MSFT,2/19/14,311360157.2,0.002405
MSFT,2/20/14,313352331,0.006398
MSFT,2/21/14,315261497.5,0.006093
MSFT,2/24/14,312854287.6,-0.007636
MSFT,2/25/14,311609179,-0.00398
MSFT,2/26/14,311028128.3,-0.001865
MSFT,2/27/14,314265410.6,0.010408
MSFT,2/28/14,318000736.4,0.011886
MSFT,3/3/14,313601352.7,-0.013835
MSFT,3/4/14,318830808.8,0.016675
MSFT,3/5/14,316340591.6,-0.00781
MSFT,3/6/14,316672620.6,0.00105
MSFT,3/7/14,314597439.6,-0.006553
MSFT,3/10/14,313933381.7,-0.002111
MSFT,3/11/14,315593526.5,0.005288
MSFT,3/12/14,317668707.5,0.006575
MSFT,3/13/14,314514432.4,-0.009929
MSFT,3/14/14,312937294.8,-0.005015
MSFT,3/17/14,315842548.2,0.009284
MSFT,3/18/14,328293634.2,0.039422
MSFT,3/19/14,325969431.5,-0.00708
MSFT,3/20/14,334768198.9,0.026993
MSFT,3/21/14,333357075.8,-0.004215
MSFT,3/24/14,336179322,0.008466
MSFT,3/25/14,334851206.2,-0.003951
MSFT,3/26/14,330285808,-0.013634
MSFT,3/27/14,326716496.6,-0.010807
MSFT,3/28/14,334519177.2,0.023882
MSFT,3/31/14,338577400,0.017122
MSFT,4/1/14,342129200,0.01049
MSFT,4/2/14,341551000,-0.00169
MSFT,4/3/14,338742600,-0.008222
MSFT,4/4/14,329326200,-0.027798
MSFT,4/7/14,328748000,-0.001756
MSFT,4/8/14,328913200,0.000503
MSFT,4/9/14,334282200,0.016323
MSFT,4/10/14,325113600,-0.027428
MSFT,4/11/14,323866340,-0.003836
MSFT,4/14/14,323626800,-0.00074
MSFT,4/15/14,328335000,0.014548
MSFT,4/16/14,333704000,0.016352
MSFT,4/17/14,330499084.1,-0.009653
MSFT,4/21/14,329920855.3,-0.00175
MSFT,4/22/14,330333875.9,0.001252
MSFT,4/23/14,327855752.3,-0.007502
MSFT,4/24/14,329260022.3,0.004283
MSFT,4/25/14,329673042.9,0.001254
MSFT,4/28/14,337603038.4,0.024054
MSFT,4/29/14,334629290.1,-0.008808
MSFT,4/30/14,333720644.8,-0.002715
MSFT,5/1/14,330416480,-0.009901
MSFT,5/2/14,327855752.3,-0.00775
MSFT,5/5/14,325708045.2,-0.006551
MSFT,5/6/14,322651692.7,-0.009384
MSFT,5/7/14,325666743.1,0.009345
MSFT,5/8/14,327442731.7,0.005453
MSFT,5/9/14,326616690.5,-0.002523
MSFT,5/12/14,330168667.6,0.010875
MSFT,5/13/14,333885853,0.018264
MSFT,5/14/14,332398978.9,-0.004453
MSFT,5/15/14,327112315.2,-0.015905
MSFT,5/16/14,329012210,0.005808
MSFT,5/19/14,328351377,-0.002009
MSFT,5/20/14,327773148.2,-0.001761
MSFT,5/21/14,333307624.2,0.016885
MSFT,5/22/14,331242521.2,-0.006196
MSFT,5/23/14,331407729.4,0.000499
MSFT,5/27/14,331985958.3,0.001745
MSFT,5/28/14,330499084.1,-0.004479
MSFT,5/29/14,333225020.1,0.008248
MSFT,5/30/14,338181267.3,0.014874
MSFT,6/2/14,336942205.5,-0.003664
MSFT,6/3/14,332811999.5,-0.012258
MSFT,6/4/14,333059811.8,0.000745
MSFT,6/5/14,340411578.5,0.022073
MSFT,6/6/14,342641889.8,0.006552
MSFT,6/9/14,340907203.2,-0.005063
MSFT,6/10/14,339585537.3,-0.003877
MSFT,6/11/14,337520434.3,-0.006081
MSFT,6/12/14,335207519,-0.006853
MSFT,6/13/14,340576786.8,0.016018
MSFT,6/16/14,342807098,0.006549
MSFT,6/17/14,344293972.2,0.004337
MSFT,6/18/14,344046159.8,-0.00072
MSFT,6/19/14,342889702.1,-0.003361
MSFT,6/20/14,344293972.2,0.004095
MSFT,6/23/14,346854699.9,0.007438
MSFT,6/24/14,344830898.9,-0.005835
MSFT,6/25/14,347185116.4,0.006827
MSFT,6/26/14,344624388.6,-0.007376
MSFT,6/27/14,349002407,0.012704
MSFT,6/30/14,343566300,-0.013018
MSFT,7/1/14,344966930,0.004077
MSFT,7/2/14,345214100,0.000717
MSFT,7/3/14,344390200,-0.002387
MSFT,7/7/14,345955610,0.004545
MSFT,7/8/14,344225420,-0.005001
MSFT,7/9/14,343319130,-0.002633
MSFT,7/10/14,343442715,0.00036
MSFT,7/11/14,346779510,0.009716
MSFT,7/14/14,347191460,0.001188
MSFT,7/15/14,349745550,0.007356
MSFT,7/16/14,363175120,0.038398
MSFT,7/17/14,366882670,0.010209
