timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,59.01,60.48,59.01,60.21,60.21,461218,0.0000,1.0
2025-04-16,58.93,59.65,58.29,59.06,59.06,485363,0.0000,1.0
2025-04-15,57.73,59.88,57.73,58.97,58.97,321645,0.0000,1.0
2025-04-14,58.48,58.65,56.425,58.33,58.33,422772,0.0000,1.0
2025-04-11,56.39,57.68,55.5,57.24,57.24,353885,0.0000,1.0
2025-04-10,59.62,60.05,55.94,57.17,57.17,594408,0.0000,1.0
2025-04-09,55.52,62.31,54.65,61.34,61.34,665755,0.0000,1.0
2025-04-08,59.36,59.83,55.58,56.36,56.36,605606,0.0000,1.0
2025-04-07,55.63,60.08,54.46,57.12,57.12,837509,0.0000,1.0
2025-04-04,56.92,58.28,55.8,57.83,57.83,942153,0.0000,1.0
2025-04-03,61.24,62.56,59.71,59.8,59.8,784447,0.0000,1.0
2025-04-02,63.15,65.42,63.0288,65.38,65.38,355667,0.0000,1.0
2025-04-01,63.9,64.66,63.25,64.37,64.37,292782,0.0000,1.0
2025-03-31,62.46,64.92,62.2,64.52,64.52,387459,0.0000,1.0
2025-03-28,64.39,64.39,62.93,63.53,63.53,221503,0.0000,1.0
2025-03-27,65.47,65.91,64.36,64.72,64.72,275899,0.0000,1.0
2025-03-26,65.93,66.875,65.1,65.52,65.52,327959,0.0000,1.0
2025-03-25,66.92,67.345,65.72,65.77,65.77,338123,0.0000,1.0
2025-03-24,65.46,67.46,65.1,66.97,66.97,298954,0.0000,1.0
2025-03-21,63.33,64.47,63.13,64.21,64.21,1092446,0.0000,1.0
2025-03-20,63.27,64.905,63.27,63.73,63.73,426015,0.0000,1.0
2025-03-19,63.3,65.16,63.28,64.32,64.32,433995,0.0000,1.0
2025-03-18,63.48,64.115,62.79,63.41,63.41,367502,0.0000,1.0
2025-03-17,63.98,64.38,63.38,63.59,63.59,305072,0.0000,1.0
2025-03-14,62.3,64.015,62.115,63.94,63.94,290535,0.0000,1.0
2025-03-13,62.52,62.8,61.305,61.63,61.63,437255,0.0000,1.0
2025-03-12,63.17,63.63,61.85,62.52,62.52,455738,0.0000,1.0
2025-03-11,63.11,63.885,62.09,62.36,62.36,398059,0.0000,1.0
2025-03-10,63.12,64.55,62.27,62.72,62.72,717187,0.0000,1.0
2025-03-07,63.64,65.13,62.51,64.65,64.65,605163,0.0000,1.0
2025-03-06,64.14,64.52,63.26,63.63,63.63,647636,0.0000,1.0
2025-03-05,64.53,65.2,63.195,64.43,64.43,487006,0.0000,1.0
2025-03-04,65.0,65.49,62.93,64.3,64.3,701163,0.0000,1.0
2025-03-03,66.73,68.17,65.56,66.13,66.13,630715,0.0000,1.0
2025-02-28,66.73,67.55,66.12,66.8,66.8,453803,0.0000,1.0
2025-02-27,66.35,67.07,65.88,66.33,66.33,253325,0.0000,1.0
2025-02-26,66.18,67.275,65.55,66.3,66.3,301050,0.0000,1.0
2025-02-25,66.18,66.82,65.24,65.83,65.83,386413,0.0000,1.0
2025-02-24,66.82,66.9699,65.65,65.75,65.75,345442,0.0000,1.0
2025-02-21,69.14,69.54,65.64,66.21,66.21,399927,0.0000,1.0
2025-02-20,69.72,69.965,67.56,68.2,68.2,260591,0.0000,1.0
2025-02-19,69.31,70.676,69.31,70.02,70.02,300787,0.0000,1.0
2025-02-18,69.9,71.515,69.45,70.3,70.3,277220,0.0000,1.0
2025-02-14,70.81,71.44,69.62,69.99,69.99,172664,0.0000,1.0
2025-02-13,70.97,70.98,69.44,70.37,70.37,281761,0.0000,1.0
2025-02-12,70.65,71.915,70.173,70.26,70.26,505829,0.0000,1.0
2025-02-11,71.22,72.22,71.06,72.08,72.08,516698,0.0000,1.0
2025-02-10,71.93,72.32,70.975,71.78,71.78,324689,0.0000,1.0
2025-02-07,72.68,72.68,71.08,71.95,71.95,329341,0.0000,1.0
2025-02-06,72.58,73.14,71.72,73.1,73.1,313644,0.0000,1.0
2025-02-05,71.61,72.28,71.19,72.28,72.28,406674,0.0000,1.0
2025-02-04,68.95,71.22,68.825,71.1,71.1,325237,0.0000,1.0
2025-02-03,67.83,69.76,67.17,68.93,68.93,392715,0.0000,1.0
2025-01-31,69.78,70.58,69.21,69.93,69.93,436794,0.0000,1.0
2025-01-30,70.37,70.7,68.81,69.63,69.63,541416,0.0000,1.0
2025-01-29,70.51,71.83,68.31,69.33,69.33,1313791,0.0000,1.0
2025-01-28,72.57,73.08,71.27,72.4,72.4,455038,0.0000,1.0
2025-01-27,72.29,73.36,72.02,72.5,72.5,368080,0.0000,1.0
2025-01-24,70.74,72.25,70.39,71.84,71.84,257416,0.0000,1.0
2025-01-23,71.1,71.765,70.57,70.95,70.95,432161,0.0000,1.0
2025-01-22,72.03,72.1,71.12,71.32,71.32,340883,0.0000,1.0
2025-01-21,72.84,73.715,72.3,72.39,72.39,305822,0.0000,1.0
2025-01-17,71.97,72.31,70.895,72.06,72.06,338002,0.0000,1.0
2025-01-16,71.33,71.33,70.25,70.96,70.96,460077,0.0000,1.0
2025-01-15,72.25,72.59,69.675,71.33,71.33,499072,0.0000,1.0
2025-01-14,67.73,69.335,67.09,68.93,68.93,453398,0.0000,1.0
2025-01-13,65.95,67.19,65.78,66.7,66.7,408181,0.0000,1.0
2025-01-10,66.65,67.33,65.655,66.7,66.7,498098,0.0000,1.0
2025-01-08,68.64,69.52,67.99,68.9,68.9,446065,0.0000,1.0
2025-01-07,71.1,71.3,68.25,69.51,69.51,399773,0.0000,1.0
2025-01-06,70.94,72.335,70.07,70.79,70.79,408197,0.0000,1.0
2025-01-03,68.98,70.66,67.63,70.58,70.58,288331,0.0000,1.0
2025-01-02,70.66,71.0,68.605,68.82,68.82,299096,0.0000,1.0
2024-12-31,71.08,71.67,69.79,69.85,69.85,509951,0.0000,1.0
2024-12-30,70.66,71.48,70.17,70.9,70.9,299001,0.0000,1.0
2024-12-27,71.71,72.27,69.94,71.29,71.29,363975,0.0000,1.0
2024-12-26,71.9,72.77,71.485,72.61,72.61,230597,0.0000,1.0
2024-12-24,71.63,72.56,71.2,72.47,72.47,145498,0.0000,1.0
2024-12-23,71.15,71.84,70.54,71.49,71.49,549201,0.0000,1.0
2024-12-20,70.39,73.27,70.39,71.73,71.73,1642380,0.0000,1.0
2024-12-19,73.2,73.92,70.75,71.12,71.12,472474,0.0000,1.0
2024-12-18,77.68,77.85,71.275,71.98,71.98,612602,0.0000,1.0
2024-12-17,78.27,78.86,76.5301,77.11,77.11,502706,0.0000,1.0
2024-12-16,79.62,79.88,77.74,79.2,79.2,485361,0.0000,1.0
2024-12-13,79.44,79.83,78.4925,79.62,79.62,264882,0.0000,1.0
2024-12-12,79.93,80.245,78.89,79.42,79.42,314578,0.0000,1.0
2024-12-11,81.0,81.575,79.91,80.01,80.01,323015,0.0000,1.0
2024-12-10,79.99,80.925,78.35,79.51,79.51,291568,0.0000,1.0
2024-12-09,81.08,82.02,79.37,79.56,79.56,281836,0.0000,1.0
2024-12-06,81.0,81.08,79.34,80.85,80.85,251207,0.0000,1.0
2024-12-05,81.99,82.9472,80.015,80.1,80.1,231954,0.0000,1.0
2024-12-04,80.51,81.95,79.93,81.39,81.39,276545,0.0000,1.0
2024-12-03,81.0,81.76,79.77,80.02,80.02,303118,0.0000,1.0
2024-12-02,83.41,83.41,80.73,80.83,80.83,513888,0.0000,1.0
2024-11-29,85.05,85.05,82.13,82.85,82.85,205193,0.0000,1.0
2024-11-27,85.11,85.93,83.76,83.78,83.78,197136,0.0000,1.0
2024-11-26,85.58,86.5,84.04,84.39,84.39,496195,0.0000,1.0
2024-11-25,85.94,88.46,85.94,86.6,86.6,646340,0.0000,1.0
2024-11-22,82.35,85.06,82.35,84.66,84.66,386936,0.0000,1.0
2024-11-21,80.67,83.45,80.21,82.12,82.12,406395,0.0000,1.0
2024-11-20,79.76,80.63,78.59,79.73,79.73,569592,0.0000,1.0
2024-11-19,78.06,80.03,77.74,79.62,79.62,254073,0.0000,1.0
2024-11-18,79.84,80.6939,79.27,79.94,79.94,608808,0.0000,1.0
2024-11-15,80.64,81.24,79.05,80.16,80.16,581554,0.0000,1.0
2024-11-14,82.68,82.68,79.96,80.58,80.58,535528,0.0000,1.0
2024-11-13,84.39,85.54,81.76,81.8,81.8,538850,0.0000,1.0
2024-11-12,83.04,84.46,82.38,83.59,83.59,477102,0.0000,1.0
2024-11-11,82.41,85.13,82.03,84.03,84.03,726026,0.0000,1.0
2024-11-08,79.94,81.45,79.36,80.62,80.62,528770,0.0000,1.0
2024-11-07,80.5,81.55,78.9901,79.33,79.33,1076257,0.0000,1.0
2024-11-06,73.92,82.95,73.92,81.55,81.55,2144553,0.0000,1.0
2024-11-05,65.37,67.8,65.37,67.61,67.61,483174,0.0000,1.0
2024-11-04,65.19,66.04,63.54,65.21,65.21,325388,0.0000,1.0
2024-11-01,67.95,68.08,65.67,65.85,65.85,587219,0.0000,1.0
2024-10-31,69.53,70.75,67.69,67.72,67.72,718079,0.0000,1.0
2024-10-30,65.66,68.39,65.66,66.49,66.49,354901,0.0000,1.0
2024-10-29,66.42,66.9,66.02,66.3,66.3,353141,0.0000,1.0
2024-10-28,65.83,67.74,65.83,67.03,67.03,321644,0.0000,1.0
2024-10-25,67.09,67.54,64.65,64.85,64.85,349173,0.0000,1.0
2024-10-24,66.13,66.77,65.29,66.64,66.64,416089,0.0000,1.0
2024-10-23,65.43,66.2,64.51,65.64,65.64,255395,0.0000,1.0
2024-10-22,65.08,65.9399,64.905,65.59,65.59,235294,0.0000,1.0
2024-10-21,66.5,66.5,64.2275,64.99,64.99,559224,0.0000,1.0
2024-10-18,68.34,68.34,66.49,66.58,66.58,324984,0.0000,1.0
2024-10-17,66.87,68.32,66.49,68.2,68.2,396716,0.0000,1.0
2024-10-16,67.25,68.17,66.78,66.93,66.93,377531,0.0000,1.0
2024-10-15,65.35,67.99,64.935,66.29,66.29,336234,0.0000,1.0
2024-10-14,63.98,65.23,63.77,64.85,64.85,257346,0.0000,1.0
2024-10-11,61.57,64.63,60.57,64.13,64.13,795658,0.0000,1.0
2024-10-10,60.38,60.69,59.82,60.41,60.41,341348,0.0000,1.0
