timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,27.97,29.1,27.92,28.89,28.89,5523452,0.0000,1.0
2025-04-16,27.87,28.59,27.565,27.82,27.82,5393666,0.0000,1.0
2025-04-15,28.29,28.5,27.52,27.8,27.8,5152411,0.0000,1.0
2025-04-14,28.38,28.7,28.06,28.38,28.38,4535734,0.0000,1.0
2025-04-11,28.26,28.26,26.78,27.84,27.84,6639005,0.0000,1.0
2025-04-10,30.095,30.25,27.61,28.14,28.14,6547081,0.0000,1.0
2025-04-09,27.3,30.82,26.25,30.75,30.75,12042314,0.0000,1.0
2025-04-08,29.37,29.53,27.51,27.97,27.97,6383148,0.0000,1.0
2025-04-07,28.35,29.31,27.12,28.64,28.64,8171955,0.0000,1.0
2025-04-04,30.73,31.19,28.695,28.79,28.79,5995433,0.0000,1.0
2025-04-03,33.3,33.6,31.29,31.35,31.35,5555458,0.0000,1.0
2025-04-02,33.72,33.83,33.42,33.65,33.65,2491925,0.0000,1.0
2025-04-01,34.11,34.29,33.8,34.02,34.02,3495868,0.0000,1.0
2025-03-31,33.63,34.515,33.63,34.23,34.23,3598927,0.0000,1.0
2025-03-28,33.6,34.01,33.4893,33.75,33.75,2513169,0.0000,1.0
2025-03-27,33.68,33.91,33.31,33.7,33.7,2761485,0.0000,1.0
2025-03-26,32.96,33.53,32.8,33.36,33.36,2719859,0.0000,1.0
2025-03-25,33.76,33.85,32.8,32.94,32.94,3684012,0.0000,1.0
2025-03-24,33.3,33.88,33.3,33.6,33.6,3543861,0.0000,1.0
2025-03-21,33.22,33.64,33.0,33.19,33.19,8139701,0.0000,1.0
2025-03-20,34.08,34.16,33.37,33.44,33.44,5791980,0.0000,1.0
2025-03-19,34.38,34.5499,33.84,34.09,34.09,5109399,0.0000,1.0
2025-03-18,34.9,34.921,34.41,34.51,34.51,3361975,0.0000,1.0
2025-03-17,34.51,35.03,34.4,34.85,34.85,3691643,0.0000,1.0
2025-03-14,34.63,35.015,34.21,34.59,34.59,2992506,0.0000,1.0
2025-03-13,34.22,34.84,34.05,34.55,34.55,4771238,0.0000,1.0
2025-03-12,35.49,35.77,34.21,34.41,34.41,6203712,0.0000,1.0
2025-03-11,36.44,36.57,35.6801,35.85,35.85,4151501,0.0000,1.0
2025-03-10,36.69,37.74,36.36,36.56,36.56,5309083,0.0000,1.0
2025-03-07,35.34,36.64,35.06,36.57,36.57,4549983,0.0000,1.0
2025-03-06,35.25,35.469,34.72,35.44,35.44,2745939,0.0000,1.0
2025-03-05,34.85,35.45,34.76,35.16,35.16,3354670,0.0000,1.0
2025-03-04,34.87,35.31,34.59,34.79,34.79,4423172,0.0000,1.0
2025-03-03,34.87,35.245,34.3,34.86,34.86,3896588,0.0000,1.0
2025-02-28,34.95,35.17,34.0,34.51,34.51,4783299,0.1700,1.0
2025-02-27,35.05,35.56,34.7501,35.1,34.9279411764706,3729429,0.0000,1.0
2025-02-26,35.94,36.26,35.01,35.26,35.0871568627451,6660658,0.0000,1.0
2025-02-25,34.99,36.05,34.95,35.94,35.7638235294118,8927375,0.0000,1.0
2025-02-24,34.02,35.1267,33.438,35.08,34.9080392156863,7796532,0.0000,1.0
2025-02-21,33.51,34.015,33.25,33.82,33.6542156862745,7264456,0.0000,1.0
2025-02-20,33.285,33.68,32.34,33.44,33.2760784313725,10688145,0.0000,1.0
2025-02-19,31.07,31.25,30.5555,30.82,30.6689215686274,9790759,0.0000,1.0
2025-02-18,30.72,31.235,30.57,31.2,31.0470588235294,4416694,0.0000,1.0
2025-02-14,30.96,31.09,30.61,30.82,30.6689215686274,3855458,0.0000,1.0
2025-02-13,30.48,30.62,30.12,30.62,30.4699019607843,5124914,0.0000,1.0
2025-02-12,30.53,30.53,29.89,30.29,30.1415196078431,2908624,0.0000,1.0
2025-02-11,30.81,30.88,30.56,30.6,30.45,4715517,0.0000,1.0
2025-02-10,30.86,30.91,30.51,30.81,30.6589705882353,5195776,0.0000,1.0
2025-02-07,30.96,30.975,30.51,30.62,30.4699019607843,2894311,0.0000,1.0
2025-02-06,31.33,31.62,30.79,30.81,30.6589705882353,2958505,0.0000,1.0
2025-02-05,31.68,31.705,31.35,31.47,31.3157352941176,2708820,0.0000,1.0
2025-02-04,31.51,31.585,31.215,31.42,31.2659803921569,4198207,0.0000,1.0
2025-02-03,31.76,32.02,30.63,31.64,31.4849019607843,7195022,0.0000,1.0
2025-01-31,32.92,33.24,32.5,32.56,32.4003921568627,3828092,0.0000,1.0
2025-01-30,32.95,33.319,32.87,33.1,32.9377450980392,3816032,0.0000,1.0
2025-01-29,32.69,32.975,32.64,32.78,32.6193137254902,3844255,0.0000,1.0
2025-01-28,33.24,33.555,32.475,32.69,32.5297549019608,4277092,0.0000,1.0
2025-01-27,32.75,33.58,32.715,33.46,33.2959803921569,4217154,0.0000,1.0
2025-01-24,32.31,32.525,32.07,32.45,32.290931372549,3244559,0.0000,1.0
2025-01-23,31.92,32.58,31.785,32.45,32.290931372549,4224365,0.0000,1.0
2025-01-22,31.29,32.265,31.09,31.83,31.6739705882353,7346962,0.0000,1.0
2025-01-21,31.17,31.6,31.11,31.48,31.3256862745098,6291089,0.0000,1.0
2025-01-17,31.01,31.02,30.51,30.98,30.828137254902,3877670,0.0000,1.0
2025-01-16,30.19,31.2,30.12,30.95,30.7982843137255,6862591,0.0000,1.0
2025-01-15,30.81,31.04,30.17,30.21,30.0619117647059,4328556,0.0000,1.0
2025-01-14,30.65,30.8226,30.28,30.62,30.4699019607843,4608192,0.0000,1.0
2025-01-13,29.48,30.93,29.24,30.5,30.3504901960784,7315214,0.0000,1.0
2025-01-10,29.28,29.5,29.0505,29.42,29.2757843137255,5954529,0.0000,1.0
2025-01-08,29.55,29.895,29.29,29.59,29.4449509803922,4036102,0.0000,1.0
2025-01-07,29.72,29.99,29.435,29.58,29.435,4538690,0.0000,1.0
2025-01-06,29.47,30.25,29.39,29.66,29.5146078431373,4164217,0.0000,1.0
2025-01-03,29.28,29.6,29.08,29.5,29.3553921568627,2821254,0.0000,1.0
2025-01-02,29.41,29.754,29.03,29.26,29.116568627451,4014430,0.0000,1.0
2024-12-31,28.87,29.25,28.78,29.16,29.0170588235294,3524163,0.0000,1.0
2024-12-30,29.06,29.1,28.335,28.63,28.4896568627451,4993715,0.0000,1.0
2024-12-27,29.08,29.355,29.02,29.2,29.056862745098,2773335,0.0000,1.0
2024-12-26,29.0,29.44,28.8,29.3,29.1563725490196,2534263,0.0000,1.0
2024-12-24,29.01,29.17,28.87,29.08,28.9374509803922,1577900,0.0000,1.0
2024-12-23,29.3,29.54,28.75,29.18,29.0369607843137,4988485,0.0000,1.0
2024-12-20,29.34,29.99,29.1744,29.5,29.3553921568627,12194866,0.0000,1.0
2024-12-19,28.72,29.405,28.6152,28.9,28.7583333333333,8152270,0.0000,1.0
2024-12-18,29.59,29.71,28.9,28.91,28.7682843137255,4872260,0.0000,1.0
2024-12-17,29.17,30.29,29.15,29.64,29.4947058823529,4614312,0.0000,1.0
2024-12-16,30.02,30.15,29.3,29.42,29.2757843137255,6759285,0.0000,1.0
2024-12-13,30.7,30.81,30.055,30.32,30.1713725490196,4259331,0.0000,1.0
2024-12-12,31.11,31.38,30.79,30.84,30.6888235294118,3786117,0.0000,1.0
2024-12-11,31.48,31.55,30.765,31.0,30.8480392156863,6650774,0.0000,1.0
2024-12-10,31.83,31.855,31.283,31.44,31.2858823529412,3730868,0.0000,1.0
2024-12-09,31.87,32.49,31.67,31.85,31.6938725490196,4419451,0.0000,1.0
2024-12-06,31.97,32.12,31.65,31.8,31.6441176470588,3573645,0.0000,1.0
2024-12-05,32.82,33.13,31.89,31.9,31.7436274509804,3549054,0.0000,1.0
2024-12-04,33.11,33.2101,32.68,33.02,32.858137254902,3554561,0.0000,1.0
2024-12-03,33.51,33.58,33.1,33.13,32.9675980392157,3717568,0.0000,1.0
2024-12-02,33.69,33.785,33.3601,33.55,33.3855392156863,4065056,0.0000,1.0
2024-11-29,33.11,33.81,33.11,33.71,33.5447549019608,2928271,0.1700,1.0
2024-11-27,33.15,33.37,32.98,33.31,32.980395093988,3605733,0.0000,1.0
2024-11-26,33.41,33.5999,32.605,32.87,32.5447489264301,4311120,0.0000,1.0
2024-11-25,33.54,33.67,33.25,33.42,33.0893066358775,5929113,0.0000,1.0
2024-11-22,33.04,33.7,33.01,33.21,32.8813846013612,4646348,0.0000,1.0
2024-11-21,32.49,33.15,32.33,32.99,32.6635615175822,3782850,0.0000,1.0
2024-11-20,32.52,32.67,31.755,32.63,32.3071237441257,6315590,0.0000,1.0
2024-11-19,32.71,32.99,32.305,32.52,32.1982122022363,4518915,0.0000,1.0
2024-11-18,31.77,33.22,31.75,33.02,32.6932646653703,7004697,0.0000,1.0
2024-11-15,31.75,32.25,31.6,31.96,31.6437534435262,4847466,0.0000,1.0
2024-11-14,32.68,32.68,31.61,31.7,31.3863261626965,5659955,0.0000,1.0
2024-11-13,33.71,33.84,32.62,32.63,32.3071237441257,5369531,0.0000,1.0
2024-11-12,34.22,34.22,33.46,33.83,33.4952496556474,6113108,0.0000,1.0
2024-11-11,35.0,35.0,33.87,34.22,33.8813905768919,5636755,0.0000,1.0
2024-11-08,35.46,35.46,33.78,34.64,34.2972346459245,6636750,0.0000,1.0
2024-11-07,35.7,36.12,35.115,36.04,35.6833815426997,5612381,0.0000,1.0
2024-11-06,36.78,36.82,35.685,36.11,35.7526888875385,3696537,0.0000,1.0
2024-11-05,35.7,36.1,35.3,36.1,35.7427878382758,2615524,0.0000,1.0
2024-11-04,36.01,36.24,35.78,35.8,35.4457563603954,2725767,0.0000,1.0
2024-11-01,36.0,36.49,35.815,35.87,35.5150637052341,3167156,0.0000,1.0
2024-10-31,35.7,36.02,35.59,35.7,35.3467458677686,2722423,0.0000,1.0
2024-10-30,35.8,36.19,35.71,35.86,35.5051626559715,2671865,0.0000,1.0
2024-10-29,35.95,36.3523,35.9,35.99,35.6338762963863,2515273,0.0000,1.0
2024-10-28,36.23,36.47,35.995,36.01,35.6536783949117,1886583,0.0000,1.0
2024-10-25,36.6,36.78,35.8408,35.97,35.614074197861,2171895,0.0000,1.0
2024-10-24,36.71,37.095,36.48,36.73,36.3665539418246,2767228,0.0000,1.0
2024-10-23,36.44,36.68,36.23,36.47,36.109126660995,1818480,0.0000,1.0
2024-10-22,36.62,36.75,36.2301,36.59,36.2279392521471,1827218,0.0000,1.0
2024-10-21,36.79,36.85,36.43,36.57,36.2081371536218,1593267,0.0000,1.0
2024-10-18,36.9,36.99,36.595,36.86,36.4952675822395,1984343,0.0000,1.0
2024-10-17,36.52,37.0,36.005,36.65,36.2873455477232,3869045,0.0000,1.0
2024-10-16,36.77,37.16,36.65,36.76,36.3962570896127,2832080,0.0000,1.0
2024-10-15,36.92,37.54,36.59,36.65,36.2873455477232,3927296,0.0000,1.0
2024-10-14,36.59,36.98,36.31,36.91,36.5447728285529,2045652,0.0000,1.0
2024-10-11,37.14,37.37,36.49,36.54,36.1784340058337,3294858,0.0000,1.0
2024-10-10,37.78,38.036,36.91,37.03,36.6635854197051,3764422,0.0000,1.0
2024-10-09,36.86,38.285,36.85,37.84,37.4655704099822,4758311,0.0000,1.0
2024-10-08,35.96,37.39,35.94,37.12,36.7526948630692,5034296,0.0000,1.0
2024-10-07,36.02,36.33,35.59,35.77,35.4160532126074,3850805,0.0000,1.0
2024-10-04,35.25,36.37,34.94,36.32,35.9606109220548,5152743,0.0000,1.0
2024-10-03,35.91,36.05,34.94,35.08,34.7328808134824,4135408,0.0000,1.0
2024-10-02,36.85,36.85,35.86,35.97,35.614074197861,6462996,0.0000,1.0
2024-10-01,38.01,38.09,36.7,36.91,36.5447728285529,4316313,0.0000,1.0
2024-09-30,37.75,38.13,37.32,37.97,37.594284050397,4866414,0.0000,1.0
2024-09-27,38.97,39.57,38.6,38.91,38.524982681089,2662589,0.0000,1.0
2024-09-26,38.43,38.81,38.415,38.71,38.3269616958354,2558752,0.0000,1.0
2024-09-25,39.17,39.17,37.92,38.34,37.9606228731162,3648950,0.0000,1.0
2024-09-24,38.95,39.215,38.845,38.98,38.5942900259277,1754430,0.0000,1.0
2024-09-23,38.71,39.23,38.255,39.0,38.6140921244531,3278785,0.0000,1.0
2024-09-20,38.5,38.7999,38.27,38.49,38.1091386120564,5224022,0.0000,1.0
2024-09-19,39.68,39.71,38.62,38.76,38.3764669421487,3340936,0.0000,1.0
2024-09-18,39.75,40.05,39.195,39.37,38.9804309471722,3101237,0.0000,1.0
2024-09-17,40.16,40.49,39.66,39.81,39.4160771147302,2198625,0.0000,1.0
2024-09-16,39.88,40.305,39.71,40.26,39.8616243315508,2617892,0.0000,1.0
2024-09-13,39.5,40.06,39.465,39.72,39.3269676713661,3239842,0.0000,1.0
2024-09-12,39.19,39.4,38.54,39.38,38.9903319964349,2877309,0.0000,1.0
2024-09-11,39.03,39.35,38.49,39.27,38.8814204545454,3649323,0.0000,1.0
2024-09-10,39.23,39.42,38.9,39.21,38.8220141589694,4575969,0.0000,1.0
2024-09-09,39.05,39.72,38.6,39.23,38.8418162574947,3393047,0.0000,1.0
2024-09-06,38.82,39.48,38.41,38.96,38.5744879274024,6154937,0.0000,1.0
2024-09-05,37.57,39.01,37.13,38.82,38.4358732377248,6375743,0.0000,1.0
2024-09-04,37.6,38.335,37.38,37.53,37.1586378828391,2635893,0.0000,1.0
2024-09-03,37.83,38.4,37.715,37.85,37.4754714592448,3255436,0.0000,1.0
2024-08-30,37.96,38.47,37.74,37.94,37.564580902609,4248884,0.2900,1.0
2024-08-29,38.05,38.41,37.61,38.16,37.4957993001192,2353459,0.0000,1.0
2024-08-28,37.94,38.095,37.44,37.82,37.1617172308834,2339852,0.0000,1.0
2024-08-27,37.94,38.12,37.81,37.91,37.2501507197987,2621943,0.0000,1.0
2024-08-26,37.62,38.39,37.45,37.93,37.2698026062244,2397135,0.0000,1.0
2024-08-23,36.66,37.59,36.55,37.54,36.8865908209244,2702266,0.0000,1.0
2024-08-22,36.39,36.73,36.28,36.49,35.8548667835784,3393201,0.0000,1.0
2024-08-21,36.36,36.5,36.04,36.18,35.550262543981,2577870,0.0000,1.0
2024-08-20,36.34,36.45,35.98,36.22,35.5895663168322,2947252,0.0000,1.0
2024-08-19,36.12,36.49,36.1,36.46,35.8253889539399,2476973,0.0000,1.0
2024-08-16,35.8,36.26,35.61,36.12,35.491306884704,2923900,0.0000,1.0
2024-08-15,35.77,36.1,35.58,35.73,35.1080950994041,4298207,0.0000,1.0
2024-08-14,34.82,35.63,34.58,35.53,34.9115762351477,6968690,0.0000,1.0
2024-08-13,35.5,36.18,33.85,34.51,33.9093300274401,9722800,0.0000,1.0
2024-08-12,37.15,37.5,36.9,36.93,36.2872082849424,2839808,0.0000,1.0
2024-08-09,37.4,37.685,37.07,37.15,36.5033790356245,3892882,0.0000,1.0
2024-08-08,36.68,37.54,36.44,37.42,36.7686795023706,3730624,0.0000,1.0
2024-08-07,37.52,37.89,36.525,36.59,35.9531262157066,5157621,0.0000,1.0
2024-08-06,34.98,37.66,33.95,36.92,36.2773823417296,11776858,0.0000,1.0
2024-08-05,35.26,35.5,34.17,34.64,34.0370672892068,6023144,0.0000,1.0
2024-08-02,35.96,36.06,34.905,35.27,34.6561017116144,6025420,0.0000,1.0
2024-08-01,35.95,36.08,34.78,36.01,35.383221509363,9462777,0.0000,1.0
2024-07-31,35.91,36.335,35.72,35.82,35.1965285883195,5260956,0.0000,1.0
2024-07-30,35.79,36.24,35.765,35.91,35.2849620772348,3242934,0.0000,1.0
2024-07-29,35.56,36.1975,35.43,36.02,35.3930474525759,3825105,0.0000,1.0
2024-07-26,35.35,35.86,35.1,35.51,34.8919243487221,3470476,0.0000,1.0
2024-07-25,35.45,36.1,35.07,35.09,34.4792347337836,3403417,0.0000,1.0
2024-07-24,35.43,35.62,35.13,35.49,34.8722724622964,3977995,0.0000,1.0
2024-07-23,35.41,35.43,35.115,35.27,34.6561017116144,4712688,0.0000,1.0
2024-07-22,35.43,35.53,34.96,35.36,34.7445352005298,3177261,0.0000,1.0
2024-07-19,35.87,35.87,35.165,35.35,34.734709257317,4497448,0.0000,1.0
2024-07-18,35.52,36.37,35.48,35.68,35.05896538334,5912236,0.0000,1.0
2024-07-17,35.62,36.37,35.46,35.68,35.05896538334,6069096,0.0000,1.0
2024-07-16,34.1,35.57,33.88,35.54,34.9214021783605,11147574,0.0000,1.0
2024-07-15,34.2,34.895,33.935,33.97,33.3787290939479,3645120,0.0000,1.0
2024-07-12,35.26,35.54,35.02,35.32,34.7052314276785,3670920,0.0000,1.0
2024-07-11,34.48,35.39,34.48,35.22,34.6069719955503,4239212,0.0000,1.0
2024-07-10,33.9,34.3,33.67,34.25,33.6538555039068,2990128,0.0000,1.0
2024-07-09,33.79,34.11,33.38,34.01,33.4180328667991,4687584,0.0000,1.0
2024-07-08,34.77,34.87,33.41,33.61,33.0249951382864,7364069,0.0000,1.0
2024-07-05,33.28,35.2,32.795,34.91,34.3023677559529,11285357,0.0000,1.0
2024-07-03,32.9,33.205,32.73,33.16,32.5828276937095,1988696,0.0000,1.0
2024-07-02,33.1,33.28,32.69,32.85,32.2782234541121,3932252,0.0000,1.0
2024-07-01,33.5,34.18,33.06,33.06,32.4845682615813,4474872,0.0000,1.0
2024-06-28,33.66,33.7525,33.1,33.45,32.8677800468812,7320230,0.0000,1.0
2024-06-27,33.9,33.9,33.425,33.52,32.936561649371,3627953,0.0000,1.0
2024-06-26,33.66,33.97,33.47,33.9,33.3099474914581,3279871,0.0000,1.0
2024-06-25,34.08,34.22,33.835,33.96,33.368903150735,3691130,0.0000,1.0
2024-06-24,34.27,34.366,33.92,34.19,33.5948998446299,3766571,0.0000,1.0
2024-06-21,34.09,34.36,33.95,34.29,33.6931592767581,6949915,0.0000,1.0
2024-06-20,33.58,34.24,33.5,34.0,33.4082069235863,3964756,0.0000,1.0
2024-06-18,34.0,34.162,33.665,33.73,33.1429064568402,4219536,0.0000,1.0
2024-06-17,33.51,34.19,33.46,33.91,33.3197734346709,4010348,0.0000,1.0
2024-06-14,33.56,33.83,33.405,33.78,33.1920361729043,4085398,0.0000,1.0
2024-06-13,33.15,33.79,32.905,33.74,33.152732400053,5476763,0.0000,1.0
2024-06-12,33.16,33.52,32.895,33.31,32.7302168419018,4349085,0.0000,1.0
2024-06-11,32.84,32.8899,32.48,32.87,32.2978753405377,4439985,0.0000,1.0
2024-06-10,33.08,33.125,32.69,32.89,32.3175272269633,4333662,0.0000,1.0
2024-06-07,33.15,33.41,32.879,33.16,32.5828276937095,5069494,0.0000,1.0
2024-06-06,33.15,33.53,32.9604,33.32,32.7400427851146,4846035,0.0000,1.0
2024-06-05,33.27,33.27,32.76,33.19,32.6123055233479,7123486,0.0000,1.0
2024-06-04,34.0,34.16,33.235,33.3,32.7203908986889,5622182,0.0000,1.0
2024-06-03,33.9,34.38,33.71,34.08,33.4868144692889,4443562,0.0000,1.0
2024-05-31,33.23,34.11,33.2,34.09,33.4966404125017,5923067,0.2900,1.0
2024-05-30,33.0,33.575,33.0,33.43,32.5710497088404,3888886,0.0000,1.0
2024-05-29,33.7,33.87,33.15,33.19,32.3372162679154,4258847,0.0000,1.0
2024-05-28,33.76,34.085,33.52,33.85,32.9802582304591,3571396,0.0000,1.0
2024-05-24,34.36,34.385,33.78,33.9,33.0289735306518,4982159,0.0000,1.0
2024-05-23,34.04,34.2,33.58,34.0,33.1264041310372,6329371,0.0000,1.0
2024-05-22,34.38,34.7,34.345,34.35,33.4674112323861,2781276,0.0000,1.0
2024-05-21,35.02,35.1,34.415,34.45,33.5648418327715,4961133,0.0000,1.0
2024-05-20,35.2,35.34,34.925,35.02,34.1201962549683,2307440,0.0000,1.0
2024-05-17,35.18,35.435,34.88,35.25,34.3442866358547,3583643,0.0000,1.0
2024-05-16,35.48,35.575,35.115,35.17,34.2663421555464,5884003,0.0000,1.0
2024-05-15,35.36,35.57,35.245,35.43,34.5196617165484,4907021,0.0000,1.0
2024-05-14,35.47,35.755,34.94,35.24,34.3345435758162,4472962,0.0000,1.0
2024-05-13,35.7,36.08,35.39,35.43,34.5196617165484,4461722,0.0000,1.0
2024-05-10,35.62,36.15,35.545,35.69,34.7729812775505,3962996,0.0000,1.0
2024-05-09,35.75,35.95,35.57,35.95,35.0263008385525,5067955,0.0000,1.0
2024-05-08,35.99,36.21,35.71,35.75,34.8314396377817,5194369,0.0000,1.0
2024-05-07,36.77,36.805,35.965,36.12,35.1919328592077,5717560,0.0000,1.0
2024-05-06,37.05,37.105,36.285,36.51,35.5719122007108,5784421,0.0000,1.0
2024-05-03,37.23,37.43,36.5,36.89,35.9421484821753,6246789,0.0000,1.0
2024-05-02,39.1,39.15,36.2006,36.91,35.9616346022524,10810757,0.0000,1.0
2024-05-01,40.13,40.7,39.96,40.34,39.3035041954717,3358151,0.0000,1.0
2024-04-30,40.3,40.71,40.05,40.37,39.3327333755874,3465078,0.0000,1.0
2024-04-29,40.18,40.955,40.07,40.64,39.5957959966279,3262957,0.0000,1.0
2024-04-26,40.21,40.42,39.965,40.13,39.0988999346624,2013221,0.0000,1.0
2024-04-25,40.75,40.79,39.765,40.23,39.1963305350478,3568051,0.0000,1.0
