timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,44.27,45.28,43.93,44.57,44.57,11707464,0.0000,1.0
2025-04-16,44.36,45.055,43.89,44.22,44.22,9876971,0.0000,1.0
2025-04-15,44.2,44.87,44.13,44.54,44.54,9799297,0.0000,1.0
2025-04-14,43.87,45.87,43.11,45.14,45.14,22020941,0.0000,1.0
2025-04-11,43.5,43.94,42.75,43.63,43.63,10735592,0.0000,1.0
2025-04-10,44.16,44.46,42.62,43.73,43.73,17437873,0.0000,1.0
2025-04-09,41.86,46.2999,41.635,45.74,45.74,23918113,0.0000,1.0
2025-04-08,44.94,45.4,41.94,42.48,42.48,16415589,0.0000,1.0
2025-04-07,41.75,45.35,41.6,43.53,43.53,25522109,0.0000,1.0
2025-04-04,44.46,44.73,42.73,44.18,44.18,26717436,0.0000,1.0
2025-04-03,46.95,47.78,45.845,45.9,45.9,18871212,0.0000,1.0
2025-04-02,46.87,48.27,46.87,47.98,47.98,12305553,0.0000,1.0
2025-04-01,47.01,47.77,46.5,47.26,47.26,14065626,0.0000,1.0
2025-03-31,45.66,47.27,45.61,47.03,47.03,15878574,0.0000,1.0
2025-03-28,46.91,47.14,45.81,46.68,46.68,18820084,0.0000,1.0
2025-03-27,46.99,48.4,46.26,47.2,47.2,35798981,0.0000,1.0
2025-03-26,52.69,53.29,50.65,50.95,50.95,20907416,0.0000,1.0
2025-03-25,51.5,52.76,51.5,52.59,52.59,14836174,0.0000,1.0
2025-03-24,50.76,51.885,50.46,51.46,51.46,16024351,0.0000,1.0
2025-03-21,48.98,50.04,48.735,49.8,49.8,37624933,0.0000,1.0
2025-03-20,48.81,49.98,48.75,49.44,49.44,12906866,0.0000,1.0
2025-03-19,48.825,50.21,48.7,49.79,49.79,13291566,0.0000,1.0
2025-03-18,49.35,49.83,48.19,48.67,48.67,19265430,0.0000,1.0
2025-03-17,48.51,49.269,48.28,49.0,49.0,14102359,0.0000,1.0
2025-03-14,47.79,48.75,47.64,48.34,48.34,14143864,0.0000,1.0
2025-03-13,47.77,49.27,46.87,47.11,47.11,14189931,0.0000,1.0
2025-03-12,48.5,48.74,46.9328,47.9,47.9,10041760,0.0000,1.0
2025-03-11,48.0,48.8195,46.03,48.28,48.28,21879864,0.0000,1.0
2025-03-10,46.81,48.18,46.77,48.08,48.08,21502139,0.0000,1.0
2025-03-07,47.78,47.82,46.04,47.44,47.44,13824430,0.1200,1.0
2025-03-06,47.77,48.33,46.39,47.2,47.0809083263247,14332014,0.0000,1.0
2025-03-05,46.7,49.07,46.23,48.48,48.3576787216148,27954242,0.0000,1.0
2025-03-04,46.415,46.42,44.41,45.22,45.1059041211102,20786776,0.0000,1.0
2025-03-03,49.98,50.5,46.74,47.38,47.2604541631623,16880518,0.0000,1.0
2025-02-28,47.52,49.49,47.1279,49.13,49.0060386879731,21380538,0.0000,1.0
2025-02-27,47.8,48.9275,47.56,47.63,47.5098233809924,14881111,0.0000,1.0
2025-02-26,48.91,50.19,48.155,48.46,48.3377291841884,17082037,0.0000,1.0
2025-02-25,46.72,47.02,45.69,46.71,46.5921446593776,7903769,0.0000,1.0
2025-02-24,46.67,46.91,46.04,46.57,46.4524978973928,8127113,0.0000,1.0
2025-02-21,47.93,48.09,45.925,46.29,46.1732043734231,6775712,0.0000,1.0
2025-02-20,47.79,47.91,46.76,47.89,47.7691673675358,5801818,0.0000,1.0
2025-02-19,47.73,47.97,47.22,47.8,47.6793944491169,6835996,0.0000,1.0
2025-02-18,48.7,48.71,47.6,48.13,48.0085618166527,6967252,0.0000,1.0
2025-02-14,48.39,48.68,47.92,48.37,48.2479562657696,5630048,0.0000,1.0
2025-02-13,48.14,48.63,47.35,47.89,47.7691673675358,7748283,0.0000,1.0
2025-02-12,46.42,47.99,46.26,47.69,47.5696719932717,10572397,0.0000,1.0
2025-02-11,46.36,46.84,46.26,46.7,46.5821698906644,7058475,0.0000,1.0
