timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,230.8,234.34,230.55,231.96,231.96,9557946,0.0000,1.0
2025-04-16,232.0,233.58,227.93,229.61,229.61,9322325,0.0000,1.0
2025-04-15,236.1,238.65,232.82,233.13,233.13,10912883,0.0000,1.0
2025-04-14,237.1,239.78,233.6301,234.72,234.72,13017824,0.0000,1.0
2025-04-11,226.31,238.575,225.0,236.2,236.2,20284450,0.0000,1.0
2025-04-10,230.0,230.3499,220.1,227.11,227.11,18896440,0.0000,1.0
2025-04-09,212.5,237.48,211.0,234.34,234.34,24022350,0.0000,1.0
2025-04-08,223.52,227.8378,213.25,216.87,216.87,19485734,0.0000,1.0
2025-04-07,205.77,222.053,202.16,214.44,214.44,22914370,0.0000,1.0
2025-04-04,215.305,217.7,208.93,210.28,210.28,27170689,1.4000,1.0
2025-04-03,234.27,235.14,227.3,228.69,227.1775,17188469,0.0000,1.0
2025-04-02,241.6,247.245,241.46,245.82,244.194206349206,7758750,0.0000,1.0
2025-04-01,242.62,245.69,240.8818,243.66,242.048492063492,8054683,0.0000,1.0
2025-03-31,239.41,245.86,237.3643,245.3,243.677645502646,13602996,0.0000,1.0
2025-03-28,246.94,249.505,241.11,242.85,241.243849206349,11978417,0.0000,1.0
2025-03-27,249.525,250.64,247.18,248.12,246.478994708995,8022517,0.0000,1.0
2025-03-26,252.6,254.67,249.78,251.03,249.369748677249,12785225,0.0000,1.0
2025-03-25,249.31,251.82,247.6247,251.13,249.469087301587,9287694,0.0000,1.0
2025-03-24,245.48,248.69,244.41,248.06,246.419391534392,9422650,0.0000,1.0
2025-03-21,237.81,242.3,236.5,241.63,240.031917989418,19326865,0.0000,1.0
2025-03-20,236.56,241.76,236.2,239.01,237.429246031746,8328513,0.0000,1.0
2025-03-19,235.74,242.33,234.89,239.11,237.528584656085,10120588,0.0000,1.0
2025-03-18,234.32,236.17,233.52,234.97,233.415965608466,10344866,0.0000,1.0
2025-03-17,231.18,235.6695,230.455,233.93,232.382843915344,9586025,0.0000,1.0
2025-03-14,228.12,233.143,227.58,232.44,230.902698412698,11962108,0.0000,1.0
2025-03-13,229.3,229.5,224.23,225.19,223.700648148148,16467851,0.0000,1.0
2025-03-12,234.0,234.32,227.26,227.9,226.392724867725,16054015,0.0000,1.0
2025-03-11,231.745,233.32,226.69,229.14,227.624523809524,18142995,0.0000,1.0
2025-03-10,236.21,237.51,228.7,232.22,230.684153439153,18730564,0.0000,1.0
2025-03-07,245.23,246.72,239.42,242.28,240.677619047619,20498734,0.0000,1.0
2025-03-06,248.11,249.36,243.85,246.54,244.909444444444,9983235,0.0000,1.0
2025-03-05,251.25,253.05,247.83,251.53,249.866441798942,7861424,0.0000,1.0
2025-03-04,255.28,257.23,245.95,250.25,248.594907407407,13465630,0.0000,1.0
2025-03-03,264.0,266.32,257.82,260.62,258.896322751323,9058307,0.0000,1.0
2025-02-28,260.73,264.81,257.89,264.65,262.899669312169,10467126,0.0000,1.0
2025-02-27,260.18,263.64,257.86,259.05,257.336706349206,8204447,0.0000,1.0
2025-02-26,257.16,260.9115,256.93,258.79,257.078425925926,5943585,0.0000,1.0
2025-02-25,262.23,263.0,253.35,257.4,255.697619047619,9608439,0.0000,1.0
2025-02-24,265.49,267.0,258.61,261.34,259.611560846561,10372751,0.0000,1.0
2025-02-21,268.32,269.1955,262.84,264.24,262.492380952381,12835566,0.0000,1.0
2025-02-20,278.675,278.74,265.735,266.8,265.03544973545,13846671,0.0000,1.0
2025-02-19,278.38,280.25,277.22,279.25,277.403108465608,7007248,0.0000,1.0
2025-02-18,276.76,279.97,276.02,279.95,278.098478835979,7919798,0.0000,1.0
2025-02-14,277.37,279.2334,276.45,276.59,274.760701058201,5688627,0.0000,1.0
2025-02-13,275.5,276.97,273.81,276.32,274.492486772487,8398667,0.0000,1.0
2025-02-12,274.08,276.45,273.25,275.45,273.628240740741,6683894,0.0000,1.0
2025-02-11,270.26,276.22,269.66,274.99,273.171283068783,7196376,0.0000,1.0
2025-02-10,276.15,276.18,269.59,271.04,269.247407407407,8627352,0.0000,1.0
2025-02-07,277.27,278.55,274.715,275.8,273.975925925926,6857875,0.0000,1.0
2025-02-06,272.45,276.98,271.19,276.9,275.068650793651,7264371,0.0000,1.0
2025-02-05,268.91,270.64,268.33,270.43,268.641441798942,5704431,0.0000,1.0
2025-02-04,269.84,269.84,266.83,267.94,266.16791005291,5625972,0.0000,1.0
2025-02-03,261.83,268.165,261.7009,266.81,265.045383597884,8381361,0.0000,1.0
2025-01-31,269.23,270.82,266.96,267.3,265.532142857143,7196268,0.0000,1.0
2025-01-30,268.63,269.7,266.6201,268.23,266.455992063492,8753466,0.0000,1.0
2025-01-29,267.21,270.68,265.61,266.58,264.816904761905,7684870,0.0000,1.0
2025-01-28,265.85,267.33,264.8301,267.14,265.373201058201,7375391,0.0000,1.0
2025-01-27,264.17,265.97,262.26,265.85,264.091732804233,7522258,0.0000,1.0
2025-01-24,263.69,267.1,263.01,264.84,263.088412698413,7666261,0.0000,1.0
2025-01-23,264.69,266.8599,263.81,265.95,264.191071428571,10749681,0.0000,1.0
2025-01-22,262.9,263.38,260.25,262.84,261.10164021164,9021914,0.0000,1.0
2025-01-21,260.07,264.25,259.5037,263.03,261.290383597884,13712114,0.0000,1.0
2025-01-17,254.14,260.62,252.14,259.16,257.445978835979,17678101,0.0000,1.0
2025-01-16,254.0,257.035,252.33,254.27,252.58832010582,15292348,0.0000,1.0
2025-01-15,250.4,253.6699,243.68,252.35,250.681018518518,18448520,0.0000,1.0
2025-01-14,242.66,247.72,242.19,247.47,245.833293650794,12407386,0.0000,1.0
2025-01-13,239.67,244.54,239.0,244.21,242.594854497355,10005315,0.0000,1.0
2025-01-10,243.09,243.81,238.74,239.87,238.283558201058,10256829,0.0000,1.0
2025-01-08,242.75,244.25,240.5,243.13,241.521997354497,8675284,0.0000,1.0
2025-01-07,242.14,245.26,240.9,243.17,241.561732804233,8753357,0.0000,1.0
