timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,373.745,374.3215,366.89,367.78,367.78,21120192,0.0000,1.0
2025-04-16,380.67,381.61,368.0,371.61,371.61,21967826,0.0000,1.0
2025-04-15,388.505,391.89,384.1599,385.73,385.73,17199890,0.0000,1.0
2025-04-14,393.22,394.65,384.21,387.81,387.81,19251172,0.0000,1.0
2025-04-11,380.635,390.05,378.89,388.45,388.45,23839220,0.0000,1.0
2025-04-10,382.06,383.9,367.8,381.35,381.35,38024368,0.0000,1.0
2025-04-09,353.535,393.225,353.1,390.49,390.49,50199696,0.0000,1.0
2025-04-08,368.255,373.65,350.25,354.56,354.56,35868918,0.0000,1.0
2025-04-07,350.88,370.9999,344.79,357.86,357.86,50424998,0.0000,1.0
2025-04-04,364.125,374.59,359.48,359.84,359.84,49209854,0.0000,1.0
2025-04-03,374.785,377.48,369.35,373.11,373.11,30197997,0.0000,1.0
2025-04-02,377.965,385.08,376.62,382.14,382.14,16092555,0.0000,1.0
2025-04-01,374.65,382.85,373.23,382.19,382.19,19689503,0.0000,1.0
2025-03-31,372.535,377.07,367.24,375.39,375.39,35184676,0.0000,1.0
2025-03-28,388.08,389.13,376.93,378.8,378.8,21632016,0.0000,1.0
2025-03-27,390.13,392.24,387.395,390.58,390.58,13766761,0.0000,1.0
2025-03-26,395.0,395.31,388.57,389.97,389.97,16132906,0.0000,1.0
2025-03-25,393.915,396.36,392.64,395.16,395.16,15774968,0.0000,1.0
2025-03-24,395.4,395.4,389.81,393.08,393.08,21004548,0.0000,1.0
2025-03-21,383.215,391.74,382.8,391.26,391.26,39675928,0.0000,1.0
2025-03-20,385.735,391.785,383.28,386.84,386.84,18470542,0.0000,1.0
2025-03-19,385.525,389.68,384.0,387.82,387.82,19185532,0.0000,1.0
2025-03-18,387.07,387.37,381.1,383.52,383.52,19486850,0.0000,1.0
2025-03-17,386.7,392.705,385.57,388.7,388.7,22474272,0.0000,1.0
2025-03-14,379.775,390.23,379.51,388.56,388.56,19952846,0.0000,1.0
2025-03-13,383.155,385.32,377.45,378.77,378.77,20473017,0.0000,1.0
2025-03-12,382.95,385.2165,378.9507,383.27,383.27,24253567,0.0000,1.0
2025-03-11,379.0,386.0,376.91,380.45,380.45,30380177,0.0000,1.0
2025-03-10,385.84,386.4,377.22,380.16,380.16,32569768,0.0000,1.0
2025-03-07,392.32,394.8,385.54,393.31,393.31,22034087,0.0000,1.0
2025-03-06,394.28,402.15,392.6777,396.89,396.89,23304625,0.0000,1.0
2025-03-05,389.34,401.67,388.81,401.02,401.02,23433132,0.0000,1.0
2025-03-04,383.4,392.58,381.0,388.61,388.61,29342923,0.0000,1.0
2025-03-03,398.82,398.82,386.155,388.49,388.49,23007726,0.0000,1.0
2025-02-28,392.655,397.63,386.57,396.99,396.99,32845658,0.0000,1.0
2025-02-27,401.265,405.74,392.17,392.53,392.53,21127406,0.0000,1.0
2025-02-26,398.01,403.6,394.245,399.73,399.73,19618954,0.0000,1.0
2025-02-25,401.1,401.915,396.7,397.9,397.9,29387402,0.0000,1.0
2025-02-24,408.51,409.37,399.32,404.0,404.0,26443656,0.0000,1.0
2025-02-21,417.335,418.048,407.89,408.21,408.21,27524799,0.0000,1.0
2025-02-20,415.29,419.31,412.54,416.13,416.13,23508728,0.8300,1.0
2025-02-19,407.88,415.49,407.65,414.77,413.944359410975,24114197,0.0000,1.0
2025-02-18,408.0,410.597,406.5,409.64,408.824571181888,21423051,0.0000,1.0
2025-02-14,407.79,408.91,405.88,408.43,407.616979806216,22758464,0.0000,1.0
2025-02-13,407.0,411.0,406.36,410.54,409.722779643131,23891731,0.0000,1.0
2025-02-12,407.21,410.75,404.3673,409.04,408.225765541059,19121734,0.0000,1.0
