timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,22.15,22.55,22.1,22.14,22.14,54073683,0.0000,1.0
2025-04-16,22.49,22.68,21.95,22.04,22.04,37641162,0.0000,1.0
2025-04-15,22.17,22.93,22.125,22.44,22.44,51814669,0.0000,1.0
2025-04-14,22.08,22.23,21.87,22.12,22.12,61900899,0.0000,1.0
2025-04-11,21.59,22.0,21.2849,21.91,21.91,55078087,0.0000,1.0
2025-04-10,22.26,22.27,21.085,21.59,21.59,72960683,0.0000,1.0
2025-04-09,21.11,22.5369,20.915,22.49,22.49,95954376,0.0000,1.0
2025-04-08,22.9,22.99,21.44,21.84,21.84,72406019,0.0000,1.0
2025-04-07,22.14,23.155,21.75,22.63,22.63,86106057,0.0000,1.0
2025-04-04,23.94,24.1,22.95,22.97,22.97,80002585,0.0000,1.0
2025-04-03,24.74,24.87,24.28,24.29,24.29,53501839,0.0000,1.0
2025-04-02,24.5,24.735,24.31,24.7,24.7,41964965,0.0000,1.0
2025-04-01,25.29,25.345,24.52,24.54,24.54,54444200,0.0000,1.0
2025-03-31,24.8,25.425,24.61,25.34,25.34,53498113,0.0000,1.0
2025-03-28,25.03,25.22,24.81,25.21,25.21,32352546,0.0000,1.0
2025-03-27,25.2,25.23,24.83,25.01,25.01,51302022,0.0000,1.0
2025-03-26,25.52,25.65,25.125,25.21,25.21,49578894,0.0000,1.0
2025-03-25,26.16,26.2,25.51,25.55,25.55,47607587,0.0000,1.0
2025-03-24,26.1,26.22,25.89,26.14,26.14,37944360,0.0000,1.0
2025-03-21,26.13,26.52,26.01,26.28,26.28,349996520,0.0000,1.0
2025-03-20,26.245,26.295,26.015,26.19,26.19,35378936,0.0000,1.0
2025-03-19,26.33,26.5,26.08,26.21,26.21,42522707,0.0000,1.0
2025-03-18,26.21,26.4,26.1,26.31,26.31,32958720,0.0000,1.0
2025-03-17,25.74,26.15,25.585,26.05,26.05,32676852,0.0000,1.0
2025-03-14,25.62,25.76,25.495,25.72,25.72,30298342,0.0000,1.0
2025-03-13,25.76,26.07,25.53,25.6,25.6,36717859,0.0000,1.0
2025-03-12,25.935,25.97,25.5,25.71,25.71,37331036,0.0000,1.0
2025-03-11,26.57,26.62,25.87,25.99,25.99,44841410,0.0000,1.0
2025-03-10,26.64,27.24,26.54,26.64,26.64,52284874,0.0000,1.0
2025-03-07,26.4,26.885,26.18,26.73,26.73,54337680,0.0000,1.0
2025-03-06,25.93,26.4562,25.9,26.24,26.24,46998311,0.0000,1.0
2025-03-05,25.7,26.1799,25.6601,25.94,25.94,37062356,0.0000,1.0
2025-03-04,26.25,26.31,25.67,25.75,25.75,51315033,0.0000,1.0
2025-03-03,26.37,26.895,25.97,26.25,26.25,54048604,0.0000,1.0
2025-02-28,26.055,26.49,25.91,26.43,26.43,51531747,0.0000,1.0
2025-02-27,26.285,26.5,26.010906,26.1,26.1,28268280,0.0000,1.0
2025-02-26,26.68,26.78,26.35,26.42,26.42,30103275,0.0000,1.0
2025-02-25,26.72,27.03,26.54,26.74,26.74,43560142,0.0000,1.0
2025-02-24,26.4,26.74,25.88,26.65,26.65,43823332,0.0000,1.0
2025-02-21,25.89,26.57,25.845,26.3,26.3,54611479,0.0000,1.0
2025-02-20,25.86,26.08,25.75,25.9,25.9,37138957,0.0000,1.0
2025-02-19,25.57,25.915,25.5,25.89,25.89,37292373,0.0000,1.0
2025-02-18,25.605,25.74,25.42,25.56,25.56,40499740,0.0000,1.0
2025-02-14,25.73,25.83,25.47,25.53,25.53,33214613,0.0000,1.0
2025-02-13,25.49,25.74,25.33,25.64,25.64,30612533,0.0000,1.0
2025-02-12,25.475,25.615,25.17,25.47,25.47,31671613,0.0000,1.0
2025-02-11,25.83,25.91,25.46,25.53,25.53,36593280,0.0000,1.0
2025-02-10,25.78,26.12,25.51,25.87,25.87,39632710,0.0000,1.0
2025-02-07,25.86,25.9599,25.53,25.74,25.74,36512824,0.0000,1.0
2025-02-06,26.42,26.47,25.78,25.83,25.83,45182013,0.0000,1.0
2025-02-05,25.95,26.69,25.7,26.44,26.44,50426780,0.0000,1.0
2025-02-04,26.1,26.9168,25.6,25.87,25.87,68748342,0.0000,1.0
2025-02-03,26.3,26.47,26.15,26.2,26.2,49626216,0.0000,1.0
2025-01-31,26.96,27.01,26.42,26.52,26.52,37338151,0.0000,1.0
2025-01-30,26.66,27.01,26.58,26.91,26.91,32289570,0.0000,1.0
2025-01-29,26.8,27.07,26.57,26.62,26.62,34418182,0.0000,1.0
2025-01-28,26.78,26.86,26.49,26.75,26.75,40589558,0.0000,1.0
2025-01-27,26.24,26.97,26.18,26.86,26.86,50648558,0.0000,1.0
2025-01-24,26.02,26.2,25.96,26.09,26.09,31300184,0.4300,1.0
2025-01-23,26.01,26.4782,25.85,26.44,26.0112971342383,40987046,0.0000,1.0
2025-01-22,26.51,26.6,25.97,26.01,25.5882692307692,41890415,0.0000,1.0
2025-01-21,26.45,26.64,26.39,26.64,26.2080542986425,39745587,0.0000,1.0
2025-01-17,26.395,26.56,26.22,26.3,25.8735671191554,35380330,0.0000,1.0
2025-01-16,26.07,26.57,25.96,26.49,26.0604864253394,29981137,0.0000,1.0
2025-01-15,26.515,26.65,26.21,26.22,25.7948642533937,35949694,0.0000,1.0
2025-01-14,26.81,26.87,26.27,26.41,25.9817835595777,25856913,0.0000,1.0
2025-01-13,26.65,26.81,26.36,26.8,26.3654600301659,28359600,0.0000,1.0
2025-01-10,26.87,27.05,26.69,26.72,26.2867571644042,32836862,0.0000,1.0
2025-01-08,27.05,27.14,26.23,26.86,26.4244871794872,35430724,0.0000,1.0
2025-01-07,27.01,27.57,26.94,27.13,26.6901093514329,35029957,0.0000,1.0
2025-01-06,26.71,27.25,26.56,26.89,26.4540007541478,43950971,0.0000,1.0
2025-01-03,26.7,26.84,26.5201,26.59,26.1588650075415,33416986,0.0000,1.0
2025-01-02,26.75,26.86,26.56,26.61,26.1785407239819,32899229,0.0000,1.0
2024-12-31,26.4,26.65,26.36,26.53,26.0998378582202,27085473,0.0000,1.0
2024-12-30,26.48,26.58,26.24,26.42,25.9916214177979,32859114,0.0000,1.0
