timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,9.35,9.515,9.26,9.43,9.43,18249138,0.0000,1.0
2025-04-16,9.16,9.36,9.12,9.23,9.23,16442268,0.0000,1.0
2025-04-15,9.37,9.54,9.27,9.36,9.36,29954484,0.0000,1.0
2025-04-14,8.96,9.475,8.7249,9.37,9.37,45521465,0.0000,1.0
2025-04-11,8.63,8.91,8.58,8.87,8.87,21461787,0.0000,1.0
2025-04-10,9.23,9.365,8.695,8.91,8.91,36101045,0.0000,1.0
2025-04-09,8.68,10.13,8.55,10.12,10.12,51190508,0.0000,1.0
2025-04-08,9.16,9.225,8.393,8.53,8.53,30846639,0.0000,1.0
2025-04-07,8.92,9.765,8.84,9.26,9.26,32821508,0.0000,1.0
2025-04-04,9.67,9.9,9.36,9.72,9.72,32363334,0.0000,1.0
2025-04-03,10.93,10.94,10.16,10.21,10.21,31987981,0.0000,1.0
2025-04-02,10.95,11.28,10.9311,11.27,11.27,16806181,0.0000,1.0
2025-04-01,11.13,11.1994,10.95,11.09,11.09,16400349,0.0000,1.0
2025-03-31,11.08,11.28,11.02,11.21,11.21,19999805,0.0000,1.0
2025-03-28,11.65,11.69,11.29,11.33,11.33,15818108,0.0000,1.0
2025-03-27,11.68,11.905,11.46,11.81,11.81,37994418,0.0000,1.0
2025-03-26,12.3,12.5099,11.89,11.96,11.96,30921252,0.0000,1.0
2025-03-25,12.41,12.42,12.26,12.4,12.4,11601634,0.0000,1.0
2025-03-24,12.11,12.32,12.105,12.28,12.28,12710121,0.0000,1.0
2025-03-21,11.95,12.1151,11.94,12.07,12.07,14538396,0.0000,1.0
2025-03-20,12.11,12.27,12.065,12.17,12.17,25832818,0.0000,1.0
2025-03-19,12.54,12.745,12.51,12.67,12.67,6514879,0.0000,1.0
2025-03-18,12.68,12.74,12.5907,12.63,12.63,14938990,0.0000,1.0
2025-03-17,12.44,12.6,12.41,12.57,12.57,12009355,0.0000,1.0
2025-03-14,12.1,12.4,12.03,12.38,12.38,11070421,0.0000,1.0
2025-03-13,11.99,12.05,11.82,11.83,11.83,19391802,0.0000,1.0
2025-03-12,12.25,12.37,12.095,12.32,12.32,19176237,0.0000,1.0
2025-03-11,12.82,12.835,12.2,12.48,12.48,27470285,0.0000,1.0
2025-03-10,12.9,13.09,12.66,12.87,12.87,25401986,0.0000,1.0
2025-03-07,12.47,12.855,12.44,12.73,12.73,19774740,0.0000,1.0
2025-03-06,12.665,12.93,12.575,12.75,12.75,22798694,0.0000,1.0
2025-03-05,12.58,13.0,12.465,12.89,12.89,25205141,0.0000,1.0
2025-03-04,11.88,11.99,11.4,11.8,11.8,33070907,0.0000,1.0
2025-03-03,13.04,13.1398,12.22,12.34,12.34,24619220,0.0000,1.0
2025-02-28,12.81,12.96,12.59,12.72,12.72,21867089,0.0000,1.0
2025-02-27,12.8,12.83,12.56,12.56,12.56,16523374,0.0000,1.0
