timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-04-17,175.34,177.82,175.34,176.38,176.38,330259,0.0000,1.0
2025-04-16,175.65,177.47,173.72,175.1,175.1,384875,0.0000,1.0
2025-04-15,174.55,176.5,173.94,174.24,174.24,427803,0.0000,1.0
2025-04-14,169.11,173.0699,168.93,172.0,172.0,423648,0.0000,1.0
2025-04-11,167.44,170.0,165.86,169.42,169.42,486935,0.0000,1.0
2025-04-10,169.45,169.68,163.71,167.22,167.22,736138,0.0000,1.0
2025-04-09,160.91,174.48,160.0,174.14,174.14,1149147,0.0000,1.0
2025-04-08,167.27,167.855,157.61,159.32,159.32,624540,0.0000,1.0
2025-04-07,155.25,166.11,155.0,160.34,160.34,1022774,0.0000,1.0
2025-04-04,159.99,161.44,156.73,158.63,158.63,919788,0.0000,1.0
2025-04-03,170.49,171.54,167.5,168.07,168.07,614145,0.0000,1.0
2025-04-02,176.11,178.295,175.24,177.31,177.31,307923,0.0000,1.0
2025-04-01,175.8,175.8,173.37,174.42,174.42,474743,0.0000,1.0
2025-03-31,175.75,177.29,174.66,176.53,176.53,335931,0.0000,1.0
2025-03-28,180.19,181.61,177.79,179.07,179.07,459563,0.0000,1.0
2025-03-27,184.5,185.23,182.52,183.98,183.98,484989,0.0000,1.0
2025-03-26,191.7,191.7,189.075,189.28,189.28,228506,0.0000,1.0
2025-03-25,192.78,193.5,191.925,193.01,193.01,167515,0.0000,1.0
2025-03-24,191.4,192.71,191.4,192.47,192.47,186585,0.0000,1.0
2025-03-21,190.0,191.62,189.48,190.7,190.7,229174,0.0000,1.0
2025-03-20,190.41,192.65,190.2,192.17,192.17,258851,0.0000,1.0
2025-03-19,192.48,193.715,191.758,193.14,193.14,280826,0.0000,1.0
2025-03-18,189.9,191.0,188.94,190.2,190.2,274848,0.0000,1.0
2025-03-17,186.54,189.4998,186.44,188.41,188.41,306987,0.0000,1.0
2025-03-14,185.75,186.88,185.34,186.67,186.67,274616,0.0000,1.0
2025-03-13,183.8,184.87,182.28,182.97,182.97,363916,0.0000,1.0
2025-03-12,186.53,186.53,184.53,185.65,185.65,255695,0.0000,1.0
2025-03-11,185.69,186.19,183.0,184.53,184.53,294996,0.0000,1.0
2025-03-10,190.04,190.9,186.76,188.35,188.35,346951,0.0000,1.0
2025-03-07,189.59,190.5,187.44,190.18,190.18,280463,0.0000,1.0
